Date,Open,High,Low,Close,Adj Close,Volume
2002-07-01,8.250000,8.250000,7.980000,7.980000,7.170527,750
2002-07-02,8.200000,8.200000,7.250000,7.250000,6.514576,1600
2002-07-03,7.330000,7.950000,7.330000,7.950000,7.143570,1003
2002-07-04,7.900000,7.900000,7.380000,7.750000,6.963858,3000
2002-07-05,7.530000,8.480000,7.530000,8.230000,7.395167,2703
2002-07-08,8.730000,9.030000,8.580000,8.930000,8.024161,9006
2002-07-09,9.750000,9.800000,9.500000,9.650000,8.671126,6939
2002-07-10,10.250000,10.250000,9.250000,9.450000,8.491414,48700
2002-07-11,9.050000,9.630000,8.830000,8.830000,7.934306,58607
2002-07-12,8.650000,9.030000,8.630000,9.030000,8.114018,1650
2002-07-15,8.500000,8.950000,8.500000,8.950000,8.042133,800
2002-07-16,8.550000,8.650000,8.380000,8.380000,7.529953,2390
2002-07-17,8.130000,8.130000,7.850000,7.980000,7.170527,450
2002-07-18,7.850000,8.250000,7.800000,8.200000,7.368211,1800
2002-07-19,8.130000,8.430000,8.130000,8.430000,7.574881,750
2002-07-22,7.900000,7.900000,7.850000,7.850000,7.053714,900
2002-07-23,8.400000,8.500000,7.750000,7.750000,6.963858,200
2002-07-24,7.950000,8.000000,7.900000,7.900000,7.098642,400
2002-07-25,7.680000,7.950000,7.680000,7.850000,7.053714,950
2002-07-26,7.250000,7.250000,7.080000,7.080000,6.361821,1260
2002-07-29,7.350000,7.350000,7.350000,7.350000,6.604433,500
2002-07-30,7.200000,7.200000,6.630000,6.630000,5.957468,370
2002-07-31,6.700000,6.700000,6.100000,6.500000,5.840655,400
2002-08-01,6.650000,6.650000,6.630000,6.630000,5.957468,700
2002-08-02,6.630000,6.630000,6.630000,6.630000,5.957468,0
2002-08-05,6.700000,6.700000,6.700000,6.700000,6.020368,100
2002-08-06,6.950000,6.950000,6.300000,6.450000,5.795726,700
2002-08-07,6.400000,6.400000,6.400000,6.400000,5.750799,100
2002-08-08,5.880000,5.880000,5.880000,5.880000,5.283547,100000
2002-08-09,6.000000,6.250000,6.000000,6.230000,5.598043,950
2002-08-12,6.080000,6.080000,6.080000,6.080000,5.463259,5
2002-08-13,6.500000,6.500000,6.430000,6.430000,5.777755,50
2002-08-14,6.100000,6.200000,6.080000,6.150000,5.526159,1314
2002-08-15,6.150000,6.150000,6.150000,6.150000,5.526159,0
2002-08-16,6.100000,6.750000,6.100000,6.750000,6.065296,300
2002-08-19,6.750000,6.750000,6.750000,6.750000,6.065296,0
2002-08-20,6.450000,6.450000,6.450000,6.450000,5.795726,50
2002-08-21,6.380000,6.380000,6.250000,6.250000,5.616015,400
2002-08-22,6.080000,6.080000,6.080000,6.080000,5.463259,644
2002-08-23,6.380000,6.380000,6.380000,6.380000,5.732828,300
2002-08-26,6.030000,6.230000,6.000000,6.230000,5.598043,1400
2002-08-27,6.830000,6.830000,6.630000,6.830000,6.137181,701
2002-08-28,6.950000,6.950000,6.500000,6.530000,5.867612,794
2002-08-29,6.330000,6.330000,6.330000,6.330000,5.687900,100
2002-08-30,6.130000,6.130000,6.130000,6.130000,5.508187,100
2002-09-02,6.130000,6.130000,6.130000,6.130000,5.508187,0
2002-09-03,6.730000,6.730000,6.450000,6.730000,6.047324,950
2002-09-04,6.750000,7.380000,6.750000,7.380000,6.631390,1569
2002-09-05,8.100000,8.100000,8.100000,8.100000,7.278356,2583
2002-09-06,8.130000,8.300000,8.130000,8.150000,7.323283,5150
2002-09-09,8.130000,8.250000,8.030000,8.130000,7.305312,4700
2002-09-10,8.130000,8.130000,8.130000,8.130000,7.305312,0
2002-09-11,8.080000,8.450000,8.080000,8.280000,7.440096,630
2002-09-12,8.200000,8.250000,8.200000,8.250000,7.413139,900
2002-09-13,8.500000,8.500000,8.350000,8.400000,7.547923,2550
2002-09-16,9.000000,9.000000,8.250000,8.500000,7.637779,62400
2002-09-17,8.530000,8.630000,8.530000,8.530000,7.664736,91992
2002-09-18,8.530000,8.880000,8.530000,8.650000,7.772563,104325
2002-09-19,8.750000,8.780000,8.500000,8.500000,7.637779,47820
2002-09-20,8.500000,8.630000,8.500000,8.530000,7.664736,2250
2002-09-23,8.250000,8.680000,8.250000,8.680000,7.799521,811
2002-09-24,8.630000,8.750000,8.530000,8.750000,7.862421,55900
2002-09-25,8.280000,8.650000,8.280000,8.550000,7.682708,1050
2002-09-26,8.500000,8.580000,8.500000,8.580000,7.709665,450
2002-09-27,8.580000,8.630000,8.580000,8.630000,7.754593,350
2002-09-30,8.450000,8.600000,8.450000,8.600000,7.727637,1200
2002-10-01,8.950000,8.950000,8.530000,8.700000,7.817492,3250
2002-10-02,8.700000,8.700000,8.700000,8.700000,7.817492,0
2002-10-03,8.530000,8.530000,8.500000,8.500000,7.637779,2000
2002-10-04,8.530000,8.530000,8.500000,8.500000,7.637779,3300
2002-10-07,8.530000,8.530000,8.500000,8.500000,7.637779,3200
2002-10-08,8.500000,8.500000,8.500000,8.500000,7.637779,0
2002-10-09,8.380000,8.380000,8.380000,8.380000,7.529953,320
2002-10-10,8.700000,8.700000,8.500000,8.530000,7.664736,2200
2002-10-11,8.430000,8.430000,8.430000,8.430000,7.574881,500
2002-10-14,8.700000,8.700000,8.380000,8.380000,7.529953,1850
2002-10-15,8.380000,8.380000,8.380000,8.380000,7.529953,0
2002-10-16,8.350000,8.500000,8.350000,8.450000,7.592851,2200
2002-10-17,8.450000,8.450000,8.450000,8.450000,7.592851,0
2002-10-18,8.580000,8.580000,8.580000,8.580000,7.709665,200
2002-10-21,8.500000,8.500000,8.500000,8.500000,7.637779,1000
2002-10-22,8.450000,8.450000,8.400000,8.400000,7.547923,1100
2002-10-23,8.400000,8.500000,8.380000,8.430000,7.574881,1600
2002-10-24,8.500000,8.500000,8.480000,8.480000,7.619808,1660
2002-10-25,8.450000,8.450000,8.450000,8.450000,7.592851,100
2002-10-28,8.280000,8.280000,8.280000,8.280000,7.440096,100
2002-10-29,8.280000,8.280000,8.280000,8.280000,7.440096,0
2002-10-30,8.280000,8.280000,8.280000,8.280000,7.440096,0
2002-10-31,8.280000,8.530000,8.280000,8.530000,7.664736,200
2002-11-01,8.530000,8.530000,8.530000,8.530000,7.664736,0
2002-11-04,8.530000,8.530000,8.530000,8.530000,7.664736,0
2002-11-05,8.430000,8.550000,8.430000,8.550000,7.682708,200
2002-11-06,8.550000,8.550000,8.550000,8.550000,7.682708,0
2002-11-07,8.500000,8.550000,8.500000,8.550000,7.682708,425
2002-11-08,8.550000,8.630000,8.530000,8.530000,7.664736,20730
2002-11-11,8.530000,8.530000,8.530000,8.530000,7.664736,0
2002-11-12,7.750000,8.550000,7.750000,8.500000,7.637779,55691
2002-11-13,8.700000,9.050000,8.700000,9.050000,8.131989,1000
2002-11-14,8.680000,8.680000,8.680000,8.680000,7.799521,600
