Date,Open,High,Low,Close,Adj Close,Volume
2002-07-22,5.080398,5.146465,4.968666,4.973524,3.663278,21665
2002-07-23,4.818071,5.084284,4.818071,5.061938,3.728400,40161
2002-07-24,5.058051,5.128977,4.937575,5.061938,3.728400,34479
2002-07-25,5.058051,5.058051,4.791838,4.849162,3.571679,38185
2002-07-26,5.146465,5.146465,4.729657,4.871508,3.588139,51760
2002-07-29,4.223463,4.250667,3.903813,4.250667,3.130854,17188
2002-07-30,4.170026,4.325479,4.036920,4.276900,3.150175,66561
2002-07-31,4.179742,4.303133,4.148651,4.210833,3.101514,5557
2002-08-01,4.250667,4.516881,4.250667,4.458586,3.283998,31134
2002-08-02,4.068010,4.610153,4.068010,4.498421,3.313339,28211
2002-08-05,4.596550,4.791838,4.525625,4.791838,3.529457,18835
2002-08-06,4.627641,4.681078,4.627641,4.649987,3.424975,6690
2002-08-07,4.800582,4.854019,4.658732,4.752003,3.500116,24825
2002-08-08,4.791838,4.791838,4.614039,4.649987,3.424975,16581
2002-08-09,4.658732,4.702453,4.574204,4.702453,3.463619,32421
2002-08-12,4.614039,4.791838,4.614039,4.614039,3.398497,10807
2002-08-13,4.610153,4.702453,4.525625,4.574204,3.369157,11321
2002-08-14,4.569346,4.641243,4.525625,4.538256,3.342680,11908
2002-08-15,4.538256,4.538256,4.538256,4.538256,3.342680,0
2002-08-16,4.614039,4.693709,4.569346,4.645129,3.421398,7986
2002-08-19,4.525625,4.720913,4.516881,4.543113,3.346257,15449
2002-08-20,4.529511,4.529511,4.383774,4.427495,3.261097,17239
2002-08-21,4.525625,4.614039,4.436239,4.441097,3.271116,27326
2002-08-22,4.441097,4.441097,4.347826,4.436239,3.267538,6175
2002-08-23,4.458586,4.480932,4.458586,4.480932,3.300457,20842
2002-08-26,4.436239,4.436239,4.179742,4.436239,3.267538,5043
2002-08-27,4.480932,4.512023,4.436239,4.436239,3.267538,10817
2002-08-28,4.370172,4.560602,4.370172,4.410007,3.248217,3087
2002-08-29,4.401263,4.458586,4.347826,4.347826,3.202417,4888
2002-08-30,4.396405,4.574204,4.392518,4.525625,3.333376,13894
2002-09-02,4.370172,4.370172,4.347826,4.347826,3.202417,6947
2002-09-03,4.392518,4.396405,4.370172,4.370172,3.218876,9263
2002-09-04,4.392518,4.436239,4.383774,4.436239,3.267538,20173
2002-09-05,4.436239,4.472188,4.436239,4.467330,3.290438,1893
2002-09-06,4.347826,4.525625,4.347826,4.436239,3.267538,11836
2002-09-09,4.356570,4.414865,4.352683,4.401263,3.241776,4117
2002-09-10,4.401263,4.401263,4.401263,4.401263,3.241776,0
2002-09-11,4.396405,4.432353,4.347826,4.375030,3.222454,6432
2002-09-12,4.508136,4.508136,4.392518,4.445955,3.274694,3602
2002-09-13,4.436239,4.436239,4.392518,4.436239,3.267538,5866
2002-09-16,4.436239,4.458586,4.392518,4.432353,3.264675,24702
2002-09-17,4.436239,4.458586,4.418751,4.418751,3.254658,24938
2002-09-18,4.436239,4.463444,4.396405,4.410007,3.248217,17713
2002-09-19,4.356570,4.489676,4.356570,4.414865,3.251795,39379
2002-09-20,3.749332,4.436239,3.749332,4.423609,3.258235,14800
2002-09-23,4.498421,4.525625,4.392518,4.512023,3.323357,27079
2002-09-24,4.498421,4.498421,4.418751,4.436239,3.267538,26142
2002-09-25,4.352683,4.436239,4.347826,4.392518,3.235335,14512
2002-09-26,4.392518,4.392518,4.392518,4.392518,3.235335,0
2002-09-27,4.405149,4.410007,4.405149,4.410007,3.248217,3087
2002-09-30,4.418751,4.418751,4.392518,4.392518,3.235335,4117
2002-10-01,4.392518,4.436239,4.392518,4.396405,3.238198,5732
2002-10-02,4.396405,4.396405,4.396405,4.396405,3.238198,0
2002-10-03,4.347826,4.347826,4.347826,4.347826,3.202417,2058
2002-10-04,4.361428,4.378916,4.356570,4.356570,3.208858,6226
2002-10-07,4.401263,4.436239,4.392518,4.392518,3.235335,24135
2002-10-08,4.436239,4.436239,4.347826,4.370172,3.218876,18269
2002-10-09,4.316735,4.370172,4.312849,4.361428,3.212435,6895
2002-10-10,4.361428,4.361428,4.347826,4.352683,3.205995,1296
