Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,27.299999,27.299999,27.299999,27.299999,27.299999,100
2000-01-04,28.100000,28.350000,28.100000,28.350000,28.350000,4900
2000-01-05,29.450001,29.450001,28.350000,29.450001,29.450001,6700
2000-01-06,30.600000,30.600000,30.600000,30.600000,30.600000,1600
2000-01-07,31.799999,31.799999,31.799999,31.799999,31.799999,4500
2000-01-10,33.049999,33.049999,33.049999,33.049999,33.049999,200
2000-01-11,34.349998,34.349998,34.349998,34.349998,34.349998,600
2000-01-12,35.700001,35.700001,35.700001,35.700001,35.700001,700
2000-01-13,37.099998,37.099998,37.099998,37.099998,37.099998,400
2000-01-14,38.549999,38.549999,38.549999,38.549999,38.549999,1000
2000-01-17,40.049999,40.049999,40.049999,40.049999,40.049999,1000
2000-01-18,41.599998,41.599998,41.599998,41.599998,41.599998,800
2000-01-19,43.250000,43.250000,43.250000,43.250000,43.250000,300
2000-01-20,44.950001,44.950001,41.549999,41.549999,41.549999,10800
2000-01-21,39.950001,39.950001,39.900002,39.900002,39.900002,1800
2000-01-24,39.000000,39.000000,38.349998,38.349998,38.349998,1800
2000-01-25,38.000000,38.000000,36.849998,36.849998,36.849998,300
2000-01-26,36.849998,36.849998,36.849998,36.849998,36.849998,0
2000-01-27,35.400002,35.400002,35.400002,35.400002,35.400002,2300
2000-01-28,34.000000,34.000000,34.000000,34.000000,34.000000,500
2000-01-31,32.650002,35.349998,32.650002,35.349998,35.349998,5400
2000-02-01,36.750000,36.750000,34.000000,36.349998,36.349998,3100
2000-02-02,36.500000,37.500000,35.000000,36.500000,36.500000,7300
2000-02-03,36.000000,37.900002,35.500000,35.500000,35.500000,9200
2000-02-04,35.000000,36.900002,34.700001,35.299999,35.299999,6900
2000-02-07,34.000000,36.700001,34.000000,36.700001,36.700001,15800
2000-02-08,36.700001,38.000000,35.599998,37.500000,37.500000,3400
2000-02-09,36.049999,37.500000,36.049999,37.000000,37.000000,1900
2000-02-10,37.900002,38.450001,37.299999,38.450001,38.450001,6200
2000-02-11,39.950001,39.950001,39.950001,39.950001,39.950001,3000
2000-02-14,41.500000,41.500000,41.500000,41.500000,41.500000,1200
2000-02-15,42.000000,43.150002,42.000000,43.150002,43.150002,800
2000-02-16,44.849998,44.849998,44.849998,44.849998,44.849998,200
2000-02-17,46.599998,46.599998,46.599998,46.599998,46.599998,1300
2000-02-18,48.450001,48.450001,48.450001,48.450001,48.450001,1500
2000-02-21,50.349998,50.349998,48.150002,50.349998,50.349998,26500
2000-02-22,52.349998,52.349998,52.349998,52.349998,52.349998,2600
2000-02-23,54.400002,54.400002,54.400002,54.400002,54.400002,1900
2000-02-24,56.549999,56.549999,56.549999,56.549999,56.549999,800
2000-02-25,58.799999,58.799999,58.799999,58.799999,58.799999,3300
2000-02-28,61.099998,61.099998,61.099998,61.099998,61.099998,400
2000-02-29,63.500000,63.500000,58.700001,59.549999,59.549999,24500
2000-03-01,61.099998,61.900002,57.250000,61.900002,61.900002,9400
2000-03-02,64.349998,64.349998,64.000000,64.349998,64.349998,5800
2000-03-03,66.900002,66.900002,65.000000,65.400002,65.400002,59100
2000-03-06,67.000000,68.000000,67.000000,68.000000,68.000000,3300
2000-03-07,70.699997,70.699997,70.400002,70.699997,70.699997,4200
