Date,Open,High,Low,Close,Adj Close,Volume
2015-06-05,7.020000,7.020000,7.020000,7.020000,7.020000,0
2015-06-08,7.020000,7.020000,7.020000,7.020000,7.020000,0
2015-06-09,7.020000,7.020000,7.020000,7.020000,7.020000,0
2015-06-10,7.370000,7.370000,6.670000,7.370000,7.370000,1030
2015-06-11,7.020000,7.020000,7.020000,7.020000,7.020000,15
2015-06-12,7.020000,7.020000,7.020000,7.020000,7.020000,0
2015-06-15,6.670000,7.370000,6.670000,7.370000,7.370000,1401
2015-06-16,7.370000,7.370000,7.370000,7.370000,7.370000,0
2015-06-17,7.650000,7.650000,7.650000,7.650000,7.650000,10
2015-06-18,7.650000,7.650000,7.650000,7.650000,7.650000,0
2015-06-19,8.030000,8.030000,7.270000,8.030000,8.030000,210
2015-06-22,8.280000,8.280000,8.280000,8.280000,8.280000,10
2015-06-23,8.690000,8.690000,8.680000,8.680000,8.680000,12
2015-06-24,9.110000,9.110000,9.110000,9.110000,9.110000,10
2015-06-25,9.560000,9.560000,9.110000,9.110000,9.110000,20
2015-06-26,9.110000,9.110000,9.110000,9.110000,9.110000,0
2015-06-29,9.110000,9.110000,9.110000,9.110000,9.110000,0
2015-06-30,9.100000,9.100000,9.100000,9.100000,9.100000,2
2015-07-01,9.100000,9.100000,9.100000,9.100000,9.100000,0
2015-07-02,9.100000,9.100000,9.100000,9.100000,9.100000,0
2015-07-03,9.190000,9.190000,9.190000,9.190000,9.190000,1
2015-07-06,9.190000,9.190000,9.190000,9.190000,9.190000,0
2015-07-07,9.190000,9.190000,9.190000,9.190000,9.190000,0
2015-07-08,9.190000,9.190000,9.190000,9.190000,9.190000,0
2015-07-09,9.190000,9.190000,9.190000,9.190000,9.190000,0
2015-07-10,9.000000,9.000000,8.740000,8.740000,8.740000,200
2015-07-13,8.740000,8.740000,8.740000,8.740000,8.740000,0
2015-07-14,8.310000,9.000000,8.310000,9.000000,9.000000,31
2015-07-15,9.000000,9.000000,9.000000,9.000000,9.000000,0
2015-07-16,8.550000,8.990000,8.550000,8.990000,8.990000,31
2015-07-17,8.550000,8.550000,8.550000,8.550000,8.550000,361
2015-07-20,8.550000,8.550000,8.550000,8.550000,8.550000,0
2015-07-21,8.970000,8.970000,8.130000,8.130000,8.130000,510
